id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_hotel,jumlah_hotel,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 1,4,UNIT,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 2,4,UNIT,2014
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 3,9,UNIT,2014
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 4,4,UNIT,2014
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 5,1,UNIT,2014
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 1,0,UNIT,2014
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 2,1,UNIT,2014
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 3,1,UNIT,2014
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 4,1,UNIT,2014
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 5,0,UNIT,2014
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 1,1,UNIT,2014
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 2,5,UNIT,2014
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 3,3,UNIT,2014
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 4,3,UNIT,2014
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 5,0,UNIT,2014
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 1,2,UNIT,2014
17,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 2,0,UNIT,2014
18,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 3,0,UNIT,2014
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 4,1,UNIT,2014
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 5,0,UNIT,2014
21,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 1,0,UNIT,2014
22,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 2,4,UNIT,2014
23,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 3,1,UNIT,2014
24,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 4,1,UNIT,2014
25,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 5,0,UNIT,2014
26,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BINTANG 1,0,UNIT,2014
27,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BINTANG 2,0,UNIT,2014
